input_length,config,runs,mean_acc,std_acc
41,INT 8-8-4-4,5,97.30760000000001,1.0280662916368788
41,INT 8-8-2-8,5,97.3058,1.119619220985416
41,INT 4-8-2-8,5,97.2942,0.8049268289726675
41,INT 8-8-2-4,5,97.2878,1.1345429476225195
41,INT 8-8-4-8,5,97.275,1.0971529063899943
41,INT 8-8-4-2,5,97.272,1.0620703837317025
41,INT 4-8-2-4,5,97.2678,0.8096123763876142
41,INT 8-8-8-2,5,97.2662,1.0658708645985207
41,INT 8-8-8-8,5,97.2554,1.1356730603479144
61,INT 4-2-8-2,5,97.2462,0.6764907242527382
51,INT 4-2-2-4,5,97.24359999999999,0.5138397610150452
41,INT 8-8-8-4,5,97.2422,1.119539950158097
51,INT 4-2-2-8,5,97.2396,0.5249945714005065
41,INT 4-8-8-8,5,97.2278,0.8722632630118051
41,INT 8-8-2-2,5,97.21459999999999,1.2319390406996635
41,INT 8-4-2-8,5,97.2142,1.2549409149438098
41,INT 8-4-2-2,5,97.20899999999999,1.158478528070333
51,INT 4-2-2-2,5,97.2024,0.463695266311835
41,INT 4-8-8-2,5,97.19640000000001,0.9158571395146682
41,INT 4-8-4-4,5,97.18979999999999,0.8979976057874548
41,INT 4-8-4-2,5,97.18499999999999,0.9545506796393842
41,INT 4-8-4-8,5,97.1778,0.9043587230739764
41,INT 4-4-4-8,5,97.17580000000001,0.9428749651995297
41,INT 4-4-2-8,5,97.16420000000001,1.0430324539533744
41,INT 4-4-2-4,5,97.1588,1.0754913760695655
41,INT 4-4-8-8,5,97.1558,1.025797104694689
41,INT 4-4-8-4,5,97.1434,1.0123498901071755
41,INT 8-4-8-8,5,97.1346,1.2261522336153825
41,INT 4-8-8-4,5,97.1334,0.9304908919489799
51,INT 4-2-4-8,5,97.1292,0.622462609318825
41,INT 4-4-4-4,5,97.1238,1.0033255702911195
41,INT 8-4-4-2,5,97.1208,1.2468829937087094
51,INT 4-2-4-4,5,97.1202,0.6238691369189524
41,INT 8-4-8-2,5,97.11019999999999,1.171017378180188
41,INT 4-4-8-2,5,97.10900000000001,0.947407779153208
41,INT 8-4-2-4,5,97.1024,1.1510335790062758
41,INT 8-4-8-4,5,97.0866,1.1842887316866606
41,INT 4-4-4-2,5,97.08500000000001,0.9831838586958194
41,INT 8-4-4-8,5,97.075,1.1455459397160863
51,INT 4-2-8-8,5,97.06179999999999,0.7209793339617968
51,INT 4-2-8-4,5,97.05499999999999,0.6848897721531529
41,INT 8-2-8-4,5,97.0504,1.299662763950707
41,INT 8-2-8-2,5,97.02799999999999,1.245438677735677
41,INT 8-4-4-4,5,97.0272,1.1233003605447704
41,INT 8-2-4-8,5,97.0218,1.2150260079520931
41,INT 8-2-4-2,5,97.0024,1.2535171718010127
41,INT 8-2-2-8,5,97.00019999999999,1.2184661259140537
41,INT 8-2-8-8,5,96.99080000000001,1.3651057468196348
51,INT 4-2-4-2,5,96.9596,0.5927784577732237
41,INT 8-2-4-4,5,96.9004,1.3188204199207758
51,INT 4-2-8-2,5,96.846,0.5617170106023105
41,INT 8-2-2-2,5,96.8438,1.29190274401752
41,INT 8-2-2-4,5,96.8306,1.1448898636986886
41,INT 4-2-4-2,5,96.8116,1.1477588161281926
41,INT 4-2-8-2,5,96.744,1.2775263206681926
41,INT 4-2-4-8,5,96.6932,1.2464867428095632
41,INT 4-2-4-4,5,96.67580000000001,1.0531923850845128
41,INT 4-2-2-8,5,96.648,1.120140392986525
41,INT 4-2-2-2,5,96.6264,1.0287447691240035
41,INT 4-2-8-4,5,96.623,1.1004346868397015
41,INT 4-2-2-4,5,96.489,1.1384741982144337
41,INT 4-2-8-8,5,96.4042,1.2805837340837936
31,INT 8-8-8-4,5,96.39500000000001,1.6802249849350546
31,INT 8-8-4-2,5,96.36959999999999,1.664183823980998
31,INT 8-4-2-2,5,96.3578,1.782234047480859
31,INT 8-8-4-4,5,96.35,1.63278121620749
31,INT 8-8-2-8,5,96.346,1.665033332999677
31,INT 8-4-4-2,5,96.34479999999999,1.8870098568899973
31,INT 8-4-8-4,5,96.3444,1.9265977265635879
31,INT 8-8-8-8,5,96.3372,1.6563742632629872
31,INT 8-4-4-8,5,96.3348,1.8707756947320067
31,INT 8-8-2-4,5,96.328,1.6335473669287974
31,INT 8-4-8-8,5,96.3216,1.9557007184127078
31,INT 8-8-4-8,5,96.3198,1.6670904894456093
31,INT 8-4-2-8,5,96.2984,1.7795809338155988
31,INT 8-4-8-2,5,96.2936,1.7971645166762005
31,INT 8-8-2-2,5,96.2784,1.5657334702943566
31,INT 8-4-2-4,5,96.27759999999999,1.929019258587118
31,INT 8-8-8-2,5,96.277,1.7856336410361462
31,INT 8-4-4-4,5,96.2664,1.8523628964109615
31,INT 4-8-2-8,5,95.7536,1.765723874222692
31,INT 4-8-2-4,5,95.7512,1.7465362005981961
31,INT 4-8-4-4,5,95.71180000000001,1.720438664992158
31,INT 4-4-2-4,5,95.6908,1.7739012655725799
31,INT 4-8-8-4,5,95.6836,1.731194038806735
31,INT 4-4-2-2,5,95.6786,1.8452302837315453
31,INT 4-8-4-8,5,95.67280000000001,1.7236588119462612
31,INT 4-8-8-8,5,95.6662,1.7183844738590963
31,INT 4-8-2-2,5,95.6656,1.6525705128677486
31,INT 4-4-4-4,5,95.6066,1.7498487934675913
31,INT 4-4-8-4,5,95.5886,1.7625357585025072
31,INT 4-4-2-8,5,95.5762,1.774708201367193
31,INT 4-4-8-2,5,95.565,1.7485555467299316
31,INT 4-4-4-8,5,95.563,1.750460082378345
31,INT 4-8-4-2,5,95.5544,1.7160569046508978
31,INT 4-8-8-2,5,95.5522,1.7320039549608384
31,INT 4-4-8-8,5,95.5282,1.734183583130693
31,INT 4-4-4-2,5,95.4632,1.6951317647899802
31,INT 8-2-4-4,5,95.39680000000001,3.2466277427509347
31,INT 8-2-4-2,5,95.2586,3.1038642528306557
31,INT 8-2-8-2,5,95.21279999999999,3.28396310880618
31,INT 8-2-2-8,5,95.1886,3.115183429591265
31,INT 8-2-8-8,5,95.1854,3.449158346611536
51,INT 2-8-2-8,5,95.1668,1.2878801186445872
81,INT 2-8-2-8,5,95.14959999999999,1.1738983346099467
81,INT 2-8-2-4,5,95.1214,1.223808931165324
51,INT 2-8-2-2,5,95.0676,1.4577946700410152
81,INT 2-8-8-8,5,95.05940000000001,1.3525591669128523
81,INT 2-8-4-8,5,95.0518,1.3700830996695041
81,INT 2-8-4-4,5,95.0358,1.347364724193121
31,INT 8-2-2-2,5,95.0158,3.4868584284424315
81,INT 2-8-8-4,5,95.0082,1.3427159789024516
21,INT 8-8-4-4,5,94.9988,1.7931198231016212
21,INT 8-8-8-8,5,94.9944,1.7924034980996901
81,INT 2-8-2-2,5,94.9912,1.3030394084600803
21,INT 8-4-4-8,5,94.9796,1.8710857275924009
51,INT 2-4-2-4,5,94.96520000000001,1.5222447897759421
31,INT 8-2-2-4,5,94.957,3.3432507384280914
21,INT 8-4-8-8,5,94.9472,1.8763815443560543
21,INT 8-8-8-4,5,94.9456,1.8121775023435136
21,INT 8-4-8-4,5,94.9438,1.8812691726597808
81,INT 2-4-4-8,5,94.9388,1.6488299487818692
21,INT 8-4-4-4,5,94.9328,1.773963274704409
81,INT 2-4-4-4,5,94.9316,1.6293815697988052
21,INT 8-4-8-2,5,94.9144,1.8771512459042843
51,INT 2-8-2-4,5,94.91420000000001,1.747310275823954
21,INT 8-8-4-2,5,94.90299999999999,1.8284842082993185
21,INT 8-4-4-2,5,94.89059999999999,1.872862194610166
81,INT 2-4-8-4,5,94.8868,1.6821341206931089
21,INT 8-8-8-2,5,94.8818,1.8723585927914586
81,INT 2-8-4-2,5,94.8804,1.3636734579803151
21,INT 8-8-2-2,5,94.8794,1.746269538187041
81,INT 2-4-8-8,5,94.8776,1.6102114146906266
51,INT 2-4-2-2,5,94.87,1.6581379616907674
81,INT 2-4-8-2,5,94.8584,1.5889143463384057
