input_length,config,conv1_bits,conv2_bits,fc1_bits,fc2_bits,seed,label_detected,test_accuracy,train_seconds,status
101,INT 4-2-4-4,4,2,4,4,46,mixed,98.782,88.1111249923706,success
101,INT 4-2-4-2,4,2,4,2,42,mixed,98.171,88.24986028671265,success
101,INT 4-2-4-2,4,2,4,2,43,mixed,98.305,88.07278752326965,success
101,INT 4-2-4-2,4,2,4,2,44,mixed,99.43,88.16005682945251,success
101,INT 4-2-4-2,4,2,4,2,45,mixed,98.121,88.20487260818481,success
101,INT 4-2-4-2,4,2,4,2,46,mixed,98.738,88.21703863143921,success
101,INT 4-2-2-8,4,2,2,8,42,mixed,98.273,88.23402857780457,success
101,INT 4-2-2-8,4,2,2,8,43,mixed,98.436,88.2187237739563,success
101,INT 4-2-2-8,4,2,2,8,44,mixed,99.3,88.60680770874023,success
101,INT 4-2-2-8,4,2,2,8,45,mixed,98.231,87.97902059555054,success
101,INT 4-2-2-8,4,2,2,8,46,mixed,98.664,88.58464574813843,success
101,INT 4-2-2-4,4,2,2,4,42,mixed,98.314,88.23000764846802,success
101,INT 4-2-2-4,4,2,2,4,43,mixed,98.277,87.93001174926758,success
101,INT 4-2-2-4,4,2,2,4,44,mixed,99.05,88.08917760848999,success
101,INT 4-2-2-4,4,2,2,4,45,mixed,98.232,87.65962982177734,success
101,INT 4-2-2-4,4,2,2,4,46,mixed,98.755,87.77943682670593,success
101,INT 4-2-2-2,4,2,2,2,42,mixed,98.138,88.22075247764587,success
101,INT 4-2-2-2,4,2,2,2,43,mixed,98.36,88.15374159812927,success
101,INT 4-2-2-2,4,2,2,2,44,mixed,99.38,88.47218418121338,success
101,INT 4-2-2-2,4,2,2,2,45,mixed,98.229,91.02974343299866,success
101,INT 4-2-2-2,4,2,2,2,46,mixed,98.683,88.17740941047668,success
101,INT 2-8-8-8,2,8,8,8,42,mixed,96.416,88.0325026512146,success
101,INT 2-8-8-8,2,8,8,8,43,mixed,96.001,87.89283204078674,success
101,INT 2-8-8-8,2,8,8,8,44,mixed,97.16,87.83457469940186,success
101,INT 2-8-8-8,2,8,8,8,45,mixed,89.357,88.11136937141418,success
101,INT 2-8-8-8,2,8,8,8,46,mixed,92.326,88.21508550643921,success
101,INT 2-8-8-4,2,8,8,4,42,mixed,96.376,88.67136073112488,success
101,INT 2-8-8-4,2,8,8,4,43,mixed,95.972,87.42730903625488,success
101,INT 2-8-8-4,2,8,8,4,44,mixed,97.17,87.80461192131042,success
101,INT 2-8-8-4,2,8,8,4,45,mixed,89.344,87.95182085037231,success
101,INT 2-8-8-4,2,8,8,4,46,mixed,92.171,88.1905746459961,success
101,INT 2-8-8-2,2,8,8,2,42,mixed,96.179,88.27075672149658,success
101,INT 2-8-8-2,2,8,8,2,43,mixed,96.062,87.79983234405518,success
101,INT 2-8-8-2,2,8,8,2,44,mixed,97.233,87.46778416633606,success
101,INT 2-8-8-2,2,8,8,2,45,mixed,89.406,88.31949090957642,success
101,INT 2-8-8-2,2,8,8,2,46,mixed,92.117,88.21137118339539,success
101,INT 2-8-4-8,2,8,4,8,42,mixed,96.407,87.82564783096313,success
101,INT 2-8-4-8,2,8,4,8,43,mixed,95.909,88.38244867324829,success
101,INT 2-8-4-8,2,8,4,8,44,mixed,97.146,88.00812458992004,success
101,INT 2-8-4-8,2,8,4,8,45,mixed,89.338,88.51800584793091,success
101,INT 2-8-4-8,2,8,4,8,46,mixed,92.372,87.86884999275208,success
101,INT 2-8-4-4,2,8,4,4,42,mixed,96.379,87.8357241153717,success
101,INT 2-8-4-4,2,8,4,4,43,mixed,95.929,91.27964663505554,success
101,INT 2-8-4-4,2,8,4,4,44,mixed,97.129,88.189786195755,success
101,INT 2-8-4-4,2,8,4,4,45,mixed,89.372,88.4905276298523,success
101,INT 2-8-4-4,2,8,4,4,46,mixed,92.282,87.93628597259521,success
101,INT 2-8-4-2,2,8,4,2,42,mixed,96.156,87.57317113876343,success
101,INT 2-8-4-2,2,8,4,2,43,mixed,95.983,88.23131895065308,success
101,INT 2-8-4-2,2,8,4,2,44,mixed,97.226,88.12057709693909,success
101,INT 2-8-4-2,2,8,4,2,45,mixed,89.24,88.46752691268921,success
101,INT 2-8-4-2,2,8,4,2,46,mixed,92.014,87.59386086463928,success
101,INT 2-8-2-8,2,8,2,8,42,mixed,96.433,88.26129841804504,success
101,INT 2-8-2-8,2,8,2,8,43,mixed,96.018,88.29163360595703,success
101,INT 2-8-2-8,2,8,2,8,44,mixed,97.294,88.05037808418274,success
101,INT 2-8-2-8,2,8,2,8,45,mixed,89.247,88.30299377441406,success
101,INT 2-8-2-8,2,8,2,8,46,mixed,92.771,88.39911103248596,success
101,INT 2-8-2-4,2,8,2,4,42,mixed,96.349,88.65921330451965,success
