input_length,size_MiB_total,size_MB_total,size_KiB_total,size_KB_total,config,runs,mean_acc,std_acc
71,0.13607,0.14268,139.336,142.68,INT 4-4-8-2,5,98.0164,0.6177
71,0.068932,0.07228,70.586,72.28,INT 4-4-4-8,5,98.011,0.5784
71,0.06855,0.07188,70.195,71.88,INT 4-4-4-4,5,98.0036,0.5704
71,0.068359,0.07168,70,71.68,INT 4-4-4-2,5,97.9356,0.5453
71,0.035076,0.03678,35.918,36.78,INT 4-4-2-8,5,98.0266,0.6065
71,0.034695,0.03638,35.527,36.38,INT 4-4-2-4,5,98.0404,0.613
71,0.034504,0.03618,35.332,36.18,INT 4-4-2-2,5,97.9908,0.5732
71,0.136571,0.143205,139.849,143.205,INT 4-2-8-8,5,97.4728,0.9237
71,0.136189,0.142805,139.458,142.805,INT 4-2-8-4,5,97.5384,0.7987
71,0.135999,0.142605,139.263,142.605,INT 4-2-8-2,5,97.6036,0.7369
71,0.06886,0.072205,70.513,72.205,INT 4-2-4-8,5,97.603,0.8024
71,0.068479,0.071805,70.122,71.805,INT 4-2-4-4,5,97.5496,0.8027
71,0.068288,0.071605,69.927,71.605,INT 4-2-4-2,5,97.5876,0.7837
71,0.035005,0.036705,35.845,36.705,INT 4-2-2-8,5,97.492,0.6005
71,0.034623,0.036305,35.454,36.305,INT 4-2-2-4,5,97.3178,0.7301
71,0.034432,0.036105,35.259,36.105,INT 4-2-2-2,5,97.572,0.7533
71,0.136771,0.143415,140.054,143.415,INT 2-8-8-8,5,94.2696,2.1777
71,0.13639,0.143015,139.663,143.015,INT 2-8-8-4,5,94.2362,2.1647
71,0.136199,0.142815,139.468,142.815,INT 2-8-8-2,5,94.1698,2.5787
71,0.06906,0.072415,70.718,72.415,INT 2-8-4-8,5,94.289,2.1265
71,0.068679,0.072015,70.327,72.015,INT 2-8-4-4,5,94.4178,2.2324
71,0.068488,0.071815,70.132,71.815,INT 2-8-4-2,5,93.9768,2.4957
71,0.035205,0.036915,36.05,36.915,INT 2-8-2-8,5,94.3748,2.19
71,0.034823,0.036515,35.659,36.515,INT 2-8-2-4,5,94.3806,2.027
71,0.034633,0.036315,35.464,36.315,INT 2-8-2-2,5,93.83,2.4705
71,0.136628,0.143265,139.907,143.265,INT 2-4-8-8,5,94.3742,2.1427
71,0.136247,0.142865,139.517,142.865,INT 2-4-8-4,5,94.3578,2.1968
71,0.136056,0.142665,139.321,142.665,INT 2-4-8-2,5,94.2726,2.5825
71,0.068917,0.072265,70.571,72.265,INT 2-4-4-8,5,94.2812,2.3832
71,0.068536,0.071865,70.181,71.865,INT 2-4-4-4,5,94.5306,2.22
71,0.068345,0.071665,69.985,71.665,INT 2-4-4-2,5,94.256,2.6099
71,0.035062,0.036765,35.903,36.765,INT 2-4-2-8,5,94.2694,2.1476
71,0.03468,0.036365,35.513,36.365,INT 2-4-2-4,5,94.1542,2.1643
71,0.03449,0.036165,35.317,36.165,INT 2-4-2-2,5,94.2872,2.5979
71,0.136557,0.14319,139.834,143.19,INT 2-2-8-8,5,92.8444,2.253
71,0.136175,0.14279,139.443,142.79,INT 2-2-8-4,5,93.3648,2.3198
71,0.135984,0.14259,139.248,142.59,INT 2-2-8-2,5,92.856,2.7872
71,0.068846,0.07219,70.498,72.19,INT 2-2-4-8,5,93.0958,2.3172
71,0.068464,0.07179,70.107,71.79,INT 2-2-4-4,5,93.4284,1.961
71,0.068274,0.07159,69.912,71.59,INT 2-2-4-2,5,92.8088,2.5995
71,0.03499,0.03669,35.83,36.69,INT 2-2-2-8,5,93.5248,2.4431
