ace_rank,alpha,config,mean_acc,std_acc,size_kb,ace,omega,hawq_rank,hawq_compression_ratio
109,31,INT 8-2-2-2,95.0158,3.4869,16.135,-0.04217943548387101,0.07547895610332489,6,3.7193864722152377
110,21,INT 8-8-4-4,94.9988,1.7931,22.06,-0.042350806451612905,0.00042380779632367194,19,1.738950276243094
111,21,INT 8-8-8-8,94.9944,1.7924,43.46,-0.04239516129032262,4.601431282935664e-05,22,1.0
112,31,INT 8-2-2-4,94.957,3.3433,16.335,-0.04277217741935493,0.07408226281404495,7,3.6823500124471
113,21,INT 8-8-8-4,94.9456,1.8122,43.06,-0.042887096774193584,0.0001851756387623027,21,1.0080064051240993
114,21,INT 8-8-4-2,94.903,1.8285,21.86,-0.043316532258064484,0.004106685984879732,18,1.7510431154381085
115,21,INT 8-8-2-2,94.8794,1.7463,11.36,-0.04355443548387095,0.008733035065233707,15,2.7579408543263964
116,21,INT 8-8-2-4,94.8282,1.7049,11.56,-0.044070564516129104,0.005050156731158495,16,2.7280606717226434
117,21,INT 8-8-2-8,94.8226,1.7713,11.96,-0.044127016129032345,0.004910995252430439,17,2.670201484623542
118,21,INT 8-4-2-4,94.8222,1.707,11.41,-0.044131048387096854,0.010059352964162827,13,3.2893533638145005
119,21,INT 8-4-2-2,94.8208,1.7166,11.21,-0.04414516129032255,0.013742230832576752,12,3.3328921244209133
120,21,INT 8-8-4-8,94.801,1.9341,22.46,-0.044344758064516134,0.00028464646311476827,20,1.715258855585831
121,21,INT 8-4-2-8,94.745,1.7316,11.81,-0.04490927419354837,0.009920191019773483,14,3.2056015276893697
122,31,INT 4-2-2-4,94.6552,2.2137,16.305,-0.04581451612903235,0.07989588379859924,4,3.8611328634821196
123,61,INT 2-2-2-4,94.6122,1.8956,31.29,-0.046247983870967756,0.14412210881710052,2,3.978015938444628
124,21,INT 4-4-2-8,94.4788,1.404,11.78,-0.04759274193548383,0.019337359815835953,11,3.339522546419098
125,21,INT 4-4-2-4,94.3564,1.5886,11.38,-0.048826612903225895,0.019476521760225296,10,3.430517711171662
126,31,INT 4-2-2-8,94.315,3.1342,16.705,-0.04924395161290328,0.07984769344329834,5,3.7821529020710813
127,61,INT 2-2-2-8,94.3098,1.8471,31.69,-0.049296370967742004,0.14408516883850098,3,3.9347648817613483
128,31,INT 4-2-2-2,94.2948,2.3914,16.105,-0.04944758064516137,0.08129257708787918,3,3.901872856766025
129,51,INT 2-2-2-2,94.2132,1.6065,26.09,-0.0502701612903226,0.17668063938617706,1,4.0
130,21,INT 4-4-2-2,94.1502,1.5059,11.18,-0.050905241935483916,0.02315939962863922,9,3.477900552486188
131,91,INT 2-2-2-4,93.8888,3.2631,46.29,-0.05354032258064515,0.1822705715894699,2,3.9852098354594196
132,61,INT 2-2-2-2,93.8212,2.0774,31.09,-0.054221774193548365,0.1451600193977356,1,4.0
133,81,INT 2-2-2-4,93.7764,1.8143,41.29,-0.054673387096774266,0.11218917369842529,2,3.983399045445113
134,101,INT 2-2-2-2,93.7196,3.4918,51.09,-0.05524596774193551,0.14821863174438477,1,4.0
135,91,INT 2-2-2-8,93.717,3.3187,46.69,-0.055272177419354876,0.18227046728134155,3,3.955955221141494
136,81,INT 2-2-2-2,93.7156,1.4963,41.09,-0.05528629032258072,0.11236776411533356,1,4.0
137,81,INT 2-2-2-8,93.6416,1.524,41.69,-0.056032258064516186,0.11218294501304626,3,3.95060712080675
